Expiry,Type,Strike,Bid,Ask,IV,Delta,Gamma,Vega,Theta
20250815,C,220.0,74.5,76.4,0.41876716212519177,0.9319685649367028,0.0021642241876204072,0.19967655457398337,-0.06959140301891864
20250815,P,220.0,1.89,2.05,0.41876716212519177,-0.06854698066371821,0.0021837521340508387,0.2002523472744202,-0.04365974653355398
20250815,C,230.0,65.65,66.8,0.4028902861707637,0.9068222620635328,0.0028587787877755277,0.26157566237031915,-0.0817895925941059
20250620,P,225.0,-1.0,-1.0,,,,,
20250815,P,230.0,2.7,2.85,0.4028902861707637,-0.09399152286398624,0.0028886827933762463,0.2621822567798868,-0.0547831073015721
20250620,C,225.0,-1.0,-1.0,,,,,
20250620,C,235.0,-1.0,-1.0,,,,,
20250620,P,235.0,-1.0,-1.0,,,,,
20250815,C,240.0,57.15,57.9,0.38890523721812964,0.8736005823138393,0.003695489090230728,0.3291464402808586,-0.09414107296998252
20250815,P,240.0,3.8,3.95,0.38890523721812964,-0.1276544406910138,0.003739939637351829,0.32992938053354015,-0.06613810001963927
20250620,C,245.0,-1.0,-1.0,,,,,
20250620,P,245.0,-1.0,-1.0,,,,,
20250815,P,250.0,5.3,5.5,0.376620588312262,-0.1710447908203543,0.004711131338428299,0.3954084747462323,-0.06634807071724591
20250815,C,250.0,48.75,49.8,0.376620588312262,0.8308071994612288,0.004647246625179199,0.3923834145517091,-0.09346896747548784
20250620,C,255.0,-1.0,-1.0,,,,,
20250620,P,255.0,-1.0,-1.0,,,,,
20250815,C,260.0,40.95,41.65,0.36581679278323814,0.7775215193214203,0.005648108139576439,0.4272428063752116,-0.1048233209642646
20250815,P,260.0,7.35,7.5,0.36581679278323814,-0.2251349232791815,0.005736803998184389,0.4345490354449524,-0.07578016596279458
20250620,C,265.0,-1.0,-1.0,,,,,
20250620,P,265.0,-1.0,-1.0,,,,,
20250815,C,270.0,33.8,34.5,0.35627409698111,0.7144341503189321,0.006611723185559705,0.47614749863001293,-0.11435447873564895
20250815,P,270.0,10.05,10.25,0.35627409698111,-0.28937188382508483,0.006731755907644779,0.48152546551933817,-0.08448471770016219
20250620,C,275.0,-1.0,-1.0,,,,,
20250815,C,280.0,27.3,28.4,0.3477570167739901,0.6427686265579444,0.007437099652200493,0.5314780787245041,-0.12101953045794288
20250620,P,275.0,-1.0,-1.0,,,,,
20250815,P,280.0,13.4,13.65,0.3477570167739901,-0.3625779933961804,0.007595416681521989,0.5344297152296154,-0.09035005045987532
20250620,C,285.0,-1.0,-1.0,,,,,
20250620,P,285.0,-1.0,-1.0,,,,,
20250815,C,290.0,21.5,21.9,0.3400739182268255,0.5647554266667116,0.00802512279536309,0.5699950976166228,-0.12397753387685384
20250815,P,290.0,17.65,18.0,0.3400739182268255,-0.4425943844593292,0.008230043062547262,0.5699391035577968,-0.09249932017162976
20250620,C,295.0,-1.0,-1.0,,,,,
20250620,P,295.0,-1.0,-1.0,,,,,
20250815,C,300.0,16.65,17.25,0.3331657233266188,0.483449680492916,0.008295704786484124,0.5873456928411969,-0.12277586427912368
20250815,P,300.0,22.35,23.05,0.3331657233266188,-0.5264621213571661,0.008559190153457949,0.5822226069231853,-0.09053997687914617
20250620,P,305.0,-1.0,-1.0,,,,,
20250620,C,305.0,-1.0,-1.0,,,,,
20250815,C,310.0,12.4,13.6,0.32711519451500143,0.4024936886095761,0.008204507227810123,0.581459128449481,-0.11745356376524896
20250815,P,310.0,28.6,29.1,0.32711519451500143,-0.6106573394356407,0.008544362764794379,0.568130780391602,-0.08406087303197651
20250620,C,315.0,-1.0,-1.0,,,,,
20250620,P,315.0,-1.0,-1.0,,,,,
20250815,C,320.0,9.1,9.55,0.3220854616206553,0.3257279454332848,0.00775824085546642,0.5529247388322549,-0.10680763631377488
20250815,P,320.0,35.45,36.2,0.3220854616206553,-0.6914939042906234,0.008199257381601148,0.527661276168665,-0.07111453470022155
20250620,C,325.0,-1.0,-1.0,,,,,
20250620,P,325.0,-1.0,-1.0,,,,,
