Expiry,Type,Strike,Bid,Ask,IV,Delta,Gamma,Vega,Theta
20250620,C,517.0,63.66,66.01,0.24926250406671513,0.9302022368432648,0.0028709713407271812,0.2593448921557382,-0.14039031114479883
20250620,P,517.0,1.67,1.7,0.24926250406671513,-0.07717830937058906,0.003077411319369574,0.28292843872697926,-0.0845782436239344
20250620,C,518.0,62.58,65.09,0.24782941712067041,0.928008311859459,0.0029570662546471362,0.2597192022530237,-0.13998994348590088
20250620,P,518.0,1.72,1.75,0.24782941712067041,-0.07957392031443214,0.003167557118837585,0.283342910962624,-0.0840127509226698
20250620,C,519.0,61.66,62.95,0.24640771816657503,0.925784788329419,0.003044975502847225,0.26009867758669714,-0.13959157261957955
20250620,P,519.0,1.77,1.81,0.24640771816657503,-0.08200162992650982,0.00325958763088989,0.2837630908154205,-0.08344942726419657
20250718,P,520.0,4.01,4.05,,,,,
20250718,C,520.0,64.1,64.74,,,,,
20250620,C,521.0,59.87,61.87,0.2435921195317468,0.9212528922479505,0.003226274302220288,0.26963690197646883,-0.13879874085758814
20250620,P,521.0,1.89,1.92,0.2435921195317468,-0.08694926594808035,0.0034493504131614065,0.2846199267213083,-0.08232701702223011
20250620,C,522.0,58.84,61.07,0.24219580227621498,0.9189458651887533,0.0033196977991857804,0.2853005471540655,-0.1384034853545799
20250620,P,522.0,1.95,1.98,0.24219580227621498,-0.08946781250881834,0.003547121523392735,0.2989112638211642,-0.08176706323025162
20250620,C,523.0,57.97,60.17,0.24080592179562388,0.9166120243520078,0.003415001494275963,0.3106785163455399,-0.13800860028354123
20250620,P,523.0,2.01,2.04,0.24080592179562388,-0.0920155994387983,0.0036468530453694263,0.3264533503947429,-0.08120750356663087
20250620,C,524.0,57.03,59.43,0.23942147673701497,0.9141032098923113,0.003513891776787044,0.33067210660559,-0.14300273286914944
20250620,P,524.0,2.07,2.11,0.23942147673701497,-0.09459214661082795,0.003748572617964213,0.3540004111075321,-0.08064797362789311
20250718,C,525.0,59.64,60.28,,,,,
20250718,P,525.0,4.52,4.56,,,,,
20250620,C,526.0,55.26,57.33,0.236667157370935,0.908083742540376,0.003730105158290233,0.33916153061736765,-0.1598412309717787
20250620,P,526.0,2.2,2.24,0.236667157370935,-0.10103829238490443,0.003971395038750444,0.365097184388151,-0.10315219964937405
20250620,C,527.0,55.0,55.95,0.23529775194592537,0.9049132678839407,0.003843028929848658,0.3397040323533531,-0.15929524293380126
20250620,P,527.0,2.27,2.31,0.23529775194592537,-0.10445246952050681,0.004087647580253448,0.3656899625833421,-0.10243736490744748
20250620,C,528.0,54.05,54.97,0.2339342341778158,0.9017057767036744,0.003958266910796441,0.3402534511576434,-0.15874944560558646
20250620,C,533.0,49.46,50.36,0.22722518747909906,0.8850809446020943,0.004570894457912107,0.35548482824149374,-0.15603193925654324
20250620,P,533.0,2.76,2.8,0.22722518747909906,-0.12580785954591422,0.004836668304543279,0.37213439794043257,-0.09816164760359314
20250620,C,534.0,48.56,49.46,0.22590145411723916,0.8816391552569901,0.004700993287708913,0.38990591546058084,-0.15548913921485763
20250620,P,534.0,2.85,2.89,0.22590145411723916,-0.12951386519279914,0.004970504234133177,0.40896978403004525,-0.09745014246121997
20250718,C,535.0,50.99,51.51,,,,,
20250718,P,535.0,5.74,5.78,,,,,
20250620,C,536.0,46.77,47.62,0.22320866837549874,0.8738879635338681,0.004973179567683087,0.42706021914879955,-0.17780701108664232
20250620,P,528.0,2.35,2.39,0.2339342341778158,-0.10790649358775349,0.004206270786326148,0.36629033574946535,-0.10172272162701601
20250620,C,529.0,53.15,54.09,0.23257757857111686,0.8984599681115008,0.004075872984336581,0.3408101419898344,-0.15820425492563572
20250620,P,536.0,3.04,3.08,0.22320866837549874,-0.1376908073611869,0.0052485049521848225,0.4539201927373324,-0.1195455485906205
20250620,P,529.0,2.42,2.46,0.23257757857111686,-0.11140171573757288,0.004327317785400463,0.36689867915072805,-0.10100871729355232
20250620,C,537.0,45.87,46.76,0.2218333928244669,0.8695147900085525,0.005116238265076691,0.4278153684344943,-0.1770669310635995
20250620,P,537.0,3.14,3.18,0.2218333928244669,-0.14234308175656119,0.005393382273057855,0.4547360675486174,-0.11863331657667153
20250718,C,530.0,55.31,55.85,,,,,
20250718,P,530.0,5.09,5.14,,,,,
20250620,C,531.0,51.3,52.2,0.22988732296108746,0.8918496264489807,0.004318383995850079,0.3419464667228098,-0.1571167514005083
20250620,P,531.0,2.58,2.63,0.22988732296108746,-0.11851968501519457,0.004576876838125825,0.3681404731559659,-0.09958376343012443
20250620,C,532.0,50.4,51.32,0.22855289059035158,0.8884851292615532,0.004443368019420636,0.34526072250093875,-0.15657407539729462
20250620,P,532.0,2.67,2.71,0.22855289059035158,-0.12214243401145282,0.0047054714426902605,0.36877408388524957,-0.0988724224653641
20250620,C,538.0,44.96,45.84,0.22045838761500047,0.8650936331059902,0.005262354494189279,0.4285801882953493,-0.17632380436034367
20250620,P,538.0,3.24,3.29,0.22045838761500047,-0.1470467777758243,0.005541351946910988,0.4555625291083163,-0.11771782345089665
20250620,C,539.0,44.07,44.94,0.2190995566467729,0.8606069278071287,0.005411650681267511,0.4293589012734955,-0.17558624921618105
20250620,P,539.0,3.35,3.39,0.2190995566467729,-0.1518195125489764,0.005692492222251891,0.45640386375079167,-0.11680822967842897
20250718,C,540.0,46.79,47.25,,,,,
20250718,P,540.0,6.46,6.51,,,,,
20250620,C,541.0,42.29,43.13,0.2164817968987263,0.8513829828262548,0.005719951263145313,0.43097141410979845,-0.17415595616284207
20250620,P,541.0,3.58,3.62,0.2164817968987263,-0.16162583110171586,0.006004299505273328,0.4581446903229871,-0.11503661616315419
20250620,P,542.0,3.7,3.74,0.21521719652120938,-0.166652672380626,0.006164934750167793,0.4590429877206512,-0.11417145389432104
20250620,C,542.0,41.41,42.25,0.21521719652120938,0.8466523750465913,0.005878912796079914,0.43180404497415736,-0.17346026004351955
20250620,C,543.0,40.58,41.36,0.21395985323872974,0.8418654577592071,0.006041096817429992,0.4383277104617349,-0.17276542367006442
20250620,P,543.0,3.82,3.87,0.21395985323872974,-0.17173924220904094,0.006328802890323014,0.45995463069248377,-0.1133071841737534
20250620,C,544.0,39.65,40.29,0.21269066408194615,0.8370405735952632,0.0062066146378195654,0.47453753724509085,-0.17206096241994118
20250620,P,544.0,3.95,3.99,0.21269066408194615,-0.17686736890271157,0.0064960733877893915,0.49664354825042434,-0.11243265956459059
20250718,C,545.0,42.63,43.06,,,,,
20250718,P,545.0,7.27,7.32,,,,,
20250620,C,546.0,37.96,38.73,0.20999502563404543,0.8263749074959129,0.006544434746098699,0.5172640434934266,-0.19256363678672983
20250620,P,546.0,4.21,4.26,0.20999502563404543,-0.18811431033876053,0.00683531628688921,0.5432055776587807,-0.13216702085857257
20250620,P,547.0,4.35,4.4,0.20856346985503002,-0.19421239568621312,0.007007884551758522,0.5442960675132635,-0.13101151838491987
20250620,C,547.0,37.09,37.7,0.20856346985503002,0.8205796302792089,0.006717716980112099,0.5182833635198634,-0.19158163712724985
20250620,C,548.0,36.2,36.99,0.20711373855997478,0.8147324761650638,0.006895233259005412,0.5193137156189707,-0.19058331243433457
20250620,P,548.0,4.5,4.54,0.20711373855997478,-0.20036718950268195,0.0071847235839664755,0.5453989741547529,-0.12983883247212002
20250620,C,549.0,35.38,36.13,0.20566925887152002,0.8088056444051221,0.007076942940560716,0.5203620854088626,-0.1895839768459311
20250718,C,550.0,38.54,38.99,,,,,
20250620,P,549.0,4.64,4.68,0.20566925887152002,-0.20660596393186298,0.007365708323579583,0.546521234405887,-0.12866504467742157
20250718,P,550.0,8.17,8.23,,,,,
